pokemon,usage,winrate,types,items,abilities,moves,ev_spreads,natures,teammates,roles
Sneasler,43.80,,fighting;poison,White Herb:77.19;Focus Sash:20.02;Mental Herb:1.29;Sitrus Berry:0.61;King's Rock:0.22;Lum Berry:0.15;Black Belt:0.10,Unburden:89.81;Poison Touch:8.56;Pressure:1.63,Close Combat:99.54;Dire Claw:96.68;Fake Out:91.50;Protect:74.84;Coaching:12.06;Rock Tomb:4.98;Rock Slide:4.91;Feint:3.59;Throat Chop:2.80;Gunk Shot:2.17;U-turn:1.46;Acrobatics:1.15,Jolly:2/32/0/0/0/32:22.88;Adamant:2/32/0/0/0/32:19.45;Jolly:0/32/2/0/0/32:6.97;Adamant:0/32/2/0/0/32:5.27;Adamant:1/32/1/0/0/32:2.97;Jolly:1/32/1/0/0/32:2.70;Jolly:0/32/1/0/1/32:2.43;Adamant:0/32/0/0/2/32:2.41;Jolly:0/32/0/0/2/32:1.87;Adamant:32/1/28/0/1/4:1.82;Adamant:20/0/31/0/0/15:1.54;Jolly:0/32/0/0/0/32:1.23,Adamant:44.42;Jolly:40.97;Hardy:0.50;Naive:0.15;Impish:0.14,Kingambit:45.49;Basculegion:43.20;Garchomp:43.14;Incineroar:29.98;Floette-Mega:24.79;Sinistcha:22.56;Charizard-Mega-Y:18.14;Aerodactyl:16.36;Froslass-Mega:16.11;Pelipper:13.70;Rotom-Wash:13.25;Whimsicott:11.82,disruption
Garchomp,40.40,,dragon;ground,Choice Scarf:27.89;Sitrus Berry:16.53;Soft Sand:13.31;White Herb:12.47;Haban Berry:9.66;Lum Berry:6.43;Focus Sash:2.83;Roseli Berry:2.48;Bright Powder:2.14;Dragonfang:2.13;Yache Berry:1.97;Leftovers:1.09,Rough Skin:93.85;Sandveil:6.15,Earthquake:91.47;Rock Slide:81.64;Dragon Claw:80.88;Protect:70.67;Stomping Tantrum:46.72;Swords Dance:5.26;Scale Shot:4.09;Rock Tomb:2.99;Poisonjab:2.80;Iron Head:2.40;Outrage:2.35;Stoneedge:2.31,Jolly:2/32/0/0/0/32:18.94;Adamant:2/32/0/0/0/32:9.57;Jolly:0/32/0/0/2/32:3.27;Adamant:32/7/1/0/1/25:2.41;Jolly:0/32/2/0/0/32:1.92;Jolly:0/32/1/0/1/32:1.89;Jolly:1/32/1/0/0/32:1.73;Adamant:32/13/1/0/1/19:1.55;Adamant:0/32/2/0/0/32:1.43;Adamant:24/20/0/0/0/22:1.30;Jolly:1/32/0/0/1/32:1.23;Adamant:1/32/1/0/0/32:1.16,Adamant:47.23;Jolly:32.28;Hardy:0.24,Sneasler:46.77;Kingambit:45.48;Basculegion:38.82;Charizard-Mega-Y:33.45;Floette-Mega:32.34;Incineroar:30.96;Rotom-Wash:20.17;Aerodactyl:19.97;Sinistcha:15.03;Whimsicott:13.42;Talonflame:13.13;Froslass-Mega:12.19,physical-attacker;spread-attacker
Kingambit,38.21,,dark;steel,Chople Berry:51.92;Black Glasses:40.63;Focus Sash:4.09;Lum Berry:0.71;Occa Berry:0.64;Leftovers:0.58;Sitrus Berry:0.39;Shuca Berry:0.34;Black Belt:0.25;Metal Coat:0.14,Defiant:94.12;Supreme Overlord:5.87,Sucker Punch:99.30;Kowtow Cleave:88.28;Protect:84.47;Iron Head:55.08;Low Kick:53.79;Swords Dance:16.12;Assurance:1.02;Throat Chop:0.80;Brickbreak:0.41;Guillotine:0.13,Adamant:32/32/0/0/2/0:7.82;Brave:32/32/0/0/2/0:4.71;Adamant:32/32/0/0/0/2:4.54;Adamant:32/32/2/0/0/0:4.09;Brave:32/32/2/0/0/0:2.40;Adamant:2/32/0/0/0/32:2.22;Adamant:32/32/1/0/1/0:2.12;Adamant:32/26/2/0/1/5:2.11;Brave:32/32/1/0/1/0:1.78;Adamant:32/25/3/0/0/6:1.71;Adamant:32/25/2/0/0/7:1.45;Adamant:31/16/16/0/0/3:1.43,Adamant:68.23;Brave:11.07;Jolly:0.55;Hardy:0.45,Sneasler:52.14;Basculegion:51.96;Garchomp:48.09;Floette-Mega:26.40;Charizard-Mega-Y:24.38;Incineroar:19.16;Sinistcha:17.43;Froslass-Mega:17.10;Aerodactyl:16.75;Farigiraf:13.61;Aerodactyl-Mega:12.74;Sylveon:11.11,physical-attacker
Basculegion,38.16,,water;ghost,Choice Scarf:48.41;Focus Sash:25.06;Mystic Water:10.40;Sitrus Berry:8.41;Kasib Berry:4.53;Colbur Berry:1.67;Spelltag:0.56;White Herb:0.46;Leftovers:0.15,Adaptability:85.99;Swift Swim:13.91;Mold Breaker:0.10,Last Respects:99.48;Aqua Jet:91.69;Wave Crash:76.38;Flip Turn:52.36;Protect:47.54;Liquidation:23.49;Icy Wind:2.90;Psychicfangs:1.14;Agility:1.07;Icefang:0.78;Phantomforce:0.74;Headsmash:0.48,Adamant:2/32/0/0/0/32:16.07;Jolly:2/32/0/0/0/32:14.35;Jolly:0/32/2/0/0/32:12.45;Adamant:0/32/2/0/0/32:7.95;Adamant:0/32/1/0/1/32:6.36;Jolly:0/32/1/0/1/32:2.89;Adamant:20/32/8/0/1/5:2.79;Adamant:12/11/32/0/1/10:1.90;Jolly:0/32/0/0/2/32:1.59;Jolly:1/32/1/0/0/32:1.34;Adamant:0/32/0/0/2/32:1.18;Adamant:1/32/1/0/0/32:1.11,Adamant:46.10;Jolly:39.93;Hardy:0.49;Brave:0.14,Kingambit:52.04;Sneasler:49.58;Garchomp:41.11;Floette-Mega:28.11;Pelipper:27.35;Archaludon:23.94;Incineroar:21.69;Charizard-Mega-Y:21.65;Sinistcha:15.52;Aerodactyl-Mega:13.18;Froslass-Mega:12.70;Aerodactyl:12.57,physical-attacker
Incineroar,35.84,,fire;dark,Sitrus Berry:48.21;Chople Berry:23.13;Shuca Berry:9.34;Leftovers:4.84;Lum Berry:3.73;White Herb:3.63;Passho Berry:3.62;Charcoal:1.17;Bright Powder:0.56;Black Glasses:0.46;Mental Herb:0.43;Quick Claw:0.21,Intimidate:99.18;Blaze:0.82,Fake Out:99.66;Parting Shot:94.86;Flare Blitz:88.53;Throat Chop:41.40;Darkest Lariat:39.10;Protect:12.22;Will-O-Wisp:6.43;Close Combat:5.01;Taunt:3.70;Helping Hand:3.60;Snarl:2.72;Roar:0.87,Careful:32/0/14/0/20/0:3.22;Adamant:32/32/0/0/0/2:2.47;Careful:32/0/2/0/32/0:1.48;Adamant:32/5/7/0/16/6:1.08;Impish:32/0/20/0/14/0:1.05;Adamant:32/32/0/0/2/0:1.03;Brave:32/32/1/0/1/0:0.98;Careful:31/1/10/0/23/1:0.84;Brave:32/32/0/0/2/0:0.84;Impish:32/0/32/0/2/0:0.77;Adamant:32/26/0/0/8/0:0.68;Brave:32/32/2/0/0/0:0.64,Careful:19.51;Adamant:11.19;Impish:10.13;Brave:3.83;Sassy:1.75;Relaxed:1.08;Jolly:0.50;Hardy:0.17,Sinistcha:38.30;Sneasler:36.64;Garchomp:34.91;Basculegion:23.10;Floette-Mega:21.66;Kingambit:20.43;Charizard-Mega-Y:16.53;Rotom-Wash:16.11;Pelipper:14.55;Aerodactyl:14.47;Farigiraf:13.51;Gengar-Mega:12.61,disruption;pivot
Sinistcha,26.87,,grass;ghost,Sitrus Berry:46.23;Leftovers:13.76;Colbur Berry:10.44;Occa Berry:7.75;Kasib Berry:7.64;Mental Herb:5.68;Coba Berry:2.70;Focus Sash:2.22;Bright Powder:1.18;Miracle Seed:1.07;Spelltag:0.32;Nothing:0.22,Hospitality:98.90;Heatproof:1.10,Matcha Gotcha:97.38;Rage Powder:95.05;Trick Room:70.00;Life Dew:55.10;Protect:39.71;Shadow Ball:19.46;Strengthsap:15.84;Imprison:1.62;Scald:1.08;Calm Mind:1.04;Leafstorm:0.61;Hex:0.49,Bold:32/0/4/0/30/0:6.36;Bold:32/0/14/0/20/0:5.16;Calm:32/0/2/0/32/0:2.70;Calm:32/0/14/0/20/0:2.66;Bold:32/0/32/0/2/0:2.51;Bold:32/0/2/0/32/0:2.21;Calm:32/0/4/0/30/0:2.09;Calm:31/0/10/1/23/1:2.09;Calm:32/0/8/0/26/0:1.61;Bold:32/0/16/0/18/0:1.40;Sassy:31/0/7/0/28/0:1.28;Relaxed:32/0/32/0/2/0:1.25,Bold:33.77;Calm:22.00;Relaxed:5.22;Sassy:4.46;Modest:3.76;Quiet:1.14;Hardy:0.13;Timid:0.12,Incineroar:51.08;Sneasler:36.78;Kingambit:24.79;Garchomp:22.60;Basculegion:22.04;Pelipper:21.53;Floette-Mega:20.42;Archaludon:17.09;Tyranitar-Mega:13.91;Aerodactyl:13.00;Rotom-Wash:11.23;Milotic:11.12,pivot;speed-control;support
Floette,21.37,,fairy,Floettite:100.00,Fairy Aura:100.00,Protect:99.29;Dazzling Gleam:96.25;Moonblast:83.34;Calm Mind:53.47;Light of Ruin:44.95;Drainingkiss:16.16;Psychic:2.12;Substitute:1.68;Energyball:0.56;Gigadrain:0.49;Synthesis:0.32;Helping Hand:0.27,Timid:2/0/0/32/0/32:7.97;Modest:2/0/0/32/0/32:4.78;Modest:14/0/0/20/0/32:4.69;Modest:10/0/29/5/0/22:3.22;Modest:32/0/0/32/0/2:1.83;Modest:26/0/3/25/0/12:1.58;Modest:18/0/12/10/0/26:1.29;Modest:32/0/2/32/0/0:1.29;Modest:32/0/1/32/0/1:1.25;Modest:1/0/1/32/0/32:1.19;Timid:0/0/2/32/0/32:1.15;Modest:10/0/29/15/0/12:1.11,Modest:58.94;Timid:13.90;Bold:0.84;Quiet:0.15;Calm:0.12,Garchomp:61.16;Sneasler:50.81;Basculegion:50.21;Kingambit:47.21;Incineroar:36.33;Aerodactyl:28.18;Sinistcha:25.68;Talonflame:18.17;Rotom-Wash:15.64;Charizard-Mega-Y:14.52;Maushold:13.95;Aegislash:12.38,setup-sweeper;spread-attacker
Charizard,17.86,,fire;flying,Charizardite Y:100.00,Drought:100.00,Heat Wave:99.22;Protect:99.19;Solar Beam:87.21;Weather Ball:76.78;Airslash:11.86;Overheat:11.73;Ancientpower:5.60;Scorching Sands:2.33;Dragonpulse:1.51;Hurricane:1.00;Flamethrower:0.95;Substitute:0.55,Timid:2/0/0/32/0/32:12.20;Modest:2/0/0/32/0/32:4.59;Modest:6/0/16/31/0/13:3.52;Timid:0/0/2/32/0/32:2.58;Modest:32/0/9/5/0/20:2.58;Modest:32/0/16/7/0/11:2.39;Modest:32/0/15/6/0/13:2.26;Timid:1/0/0/32/1/32:1.98;Modest:16/0/31/16/0/3:1.87;Timid:22/0/28/7/0/9:1.65;Modest:32/0/0/32/0/2:1.64;Modest:24/0/14/11/0/17:1.61,Modest:57.27;Timid:22.64;Hardy:0.32;Quiet:0.30,Garchomp:75.66;Kingambit:52.15;Basculegion:46.25;Sneasler:44.47;Incineroar:33.17;Whimsicott:25.03;Venusaur:21.84;Aerodactyl:18.57;Sylveon:18.06;Floette-Mega:17.37;Farigiraf:14.03;Aerodactyl-Mega:12.23,spread-attacker;weather-setter
